YEAR,STATE_NAME,STRUCTURE_NUMBER,OWNER_AGENCY,ELEMENT_CATEGORY,PARENT_ELEMENT_NUMBER,PARENT_ELEMENT_NAME,ELEMENT_NUMBER,ELEMENT_NAME,ELEMENT_UNIT,TOTAL_QUANTITY,CONDITION_STATE_1,CS_PERCENT_1,CONDITION_STATE_2,CS_PERCENT_2,CONDITION_STATE_3,CS_PERCENT_3,CONDITION_STATE_4,CS_PERCENT_4,HI
2024,'41 - Oregon',00001 000 00005,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',498,498,100,0,0,0,0,0,0,100
2024,'41 - Oregon',00001 000 00005,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',600,579,96,21,3,0,0,0,0,98.85
2024,'41 - Oregon',00001 000 00005,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',896,865,96,29,3,2,0,0,0,98.78
2024,'41 - Oregon',00004 000 00010,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',1600,1080,67,474,29,46,2,0,0,88.3
2024,'41 - Oregon',00340 000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',546,421,77,103,18,22,4,0,0,91.08
2024,'41 - Oregon',00463 365 00103,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',5683,5112,89,571,10,0,0,0,0,96.68
2024,'41 - Oregon',00464 000000059,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',3962,2476,62,1486,37,0,0,0,0,87.62
2024,'41 - Oregon',005001005100009,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1300,266,20,764,58,270,20,0,0,66.69
2024,'41 - Oregon',00548A000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2100,1576,75,516,24,8,0,0,0,91.64
2024,'41 - Oregon',00636 000 00011,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',4600,3955,85,642,13,3,0,0,0,95.35
2024,'41 - Oregon',006T1 000000000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',130,130,100,0,0,0,0,0,0,100
2024,'41 - Oregon',006T1 000000000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',702,702,100,0,0,0,0,0,0,100
2024,'41 - Oregon',006T1 000000000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',624,624,100,0,0,0,0,0,0,100
2024,'41 - Oregon',00713719T900110,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',8286,0,0,3553,42,4733,57,0,0,47.58
2024,'41 - Oregon',00713719T900110,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',7930,0,0,4429,55,3501,44,0,0,51.99
2024,'41 - Oregon',008T3 000 00156,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',500,498,99,0,0,2,0,0,0,99.73
2024,'41 - Oregon',008T3 000 00156,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',2652,2643,99,9,0,0,0,0,0,99.89
2024,'41 - Oregon',009359174200010,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',9300,9020,96,227,2,53,0,0,0,98.81
2024,'41 - Oregon',009360174100032,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',19500,19198,98,300,1,2,0,0,0,99.49
2024,'41 - Oregon',01069A000 00066,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',462,460,99,2,0,0,0,0,0,99.86
2024,'41 - Oregon',01069A000 00066,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',3168,3166,99,2,0,0,0,0,0,99.98
2024,'41 - Oregon',01134A004 14015,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',4536,4345,95,191,4,0,0,0,0,98.61
2024,'41 - Oregon',01137B         ,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',8800,8500,96,290,3,10,0,0,0,98.84
2024,'41 - Oregon',01208740201 000,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',598,598,100,0,0,0,0,0,0,100
2024,'41 - Oregon',01254A063000488,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',6000,0,0,6000,100,0,0,0,0,67
2024,'41 - Oregon',01254A063000488,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',7200,7200,100,0,0,0,0,0,0,100
2024,'41 - Oregon',01520 111900280,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',1500,1496,99,2,0,2,0,0,0,99.87
2024,'41 - Oregon',016321000000027,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',1104,1049,95,55,4,0,0,0,0,98.36
2024,'41 - Oregon',016321000000027,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',5336,5336,100,0,0,0,0,0,0,100
2024,'41 - Oregon',016329181800043,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',5450,5442,99,8,0,0,0,0,0,99.95
2024,'41 - Oregon',016843000000009,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',3312,2890,87,420,12,2,0,0,0,95.77
2024,'41 - Oregon',01720 009F02870,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',2352,2350,99,0,0,2,0,0,0,99.94
2024,'41 - Oregon',01720 009F02870,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',9284,9278,99,3,0,3,0,0,0,99.97
2024,'41 - Oregon',02138 01W 12142,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',13602,11646,85,1915,14,41,0,0,0,95.15
2024,'41 - Oregon',02484 000 00014,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',7942,7220,90,722,9,0,0,0,0,97
2024,'41 - Oregon',02484 000 00014,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',672,653,97,19,2,0,0,0,0,99.07
2024,'41 - Oregon',02484A000 00014,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',11660,0,0,8660,74,3000,25,0,0,58.25
2024,'41 - Oregon',02485 000 00219,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',11200,10360,92,720,6,120,1,0,0,97.16
2024,'41 - Oregon',02724 774 00012,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',900,900,100,0,0,0,0,0,0,100
2024,'41 - Oregon',03849B020 00125,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',19186,16307,84,2879,15,0,0,0,0,95.05
2024,'41 - Oregon',03849B020 00125,'City or Municipal Highway Agency','Deck/Slab',,'',16,'Reinforced Concrete Top Flange','SF',41340,35134,84,6204,15,2,0,0,0,95.04
2024,'41 - Oregon',039C09150200031,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',840,840,100,0,0,0,0,0,0,100
2024,'41 - Oregon',039C09150200031,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',5730,5719,99,10,0,1,0,0,0,99.93
2024,'41 - Oregon',039C11174400098,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',7360,7330,99,29,0,1,0,0,0,99.86
2024,'41 - Oregon',039C53427000501,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1310,1308,99,2,0,0,0,0,0,99.95
2024,'41 - Oregon',03C04 000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',350,350,100,0,0,0,0,0,0,100
2024,'41 - Oregon',03C04 000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1200,1050,87,100,8,50,4,0,0,94.46
2024,'41 - Oregon',03C08 000 00000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',550,143,26,203,36,204,37,0,0,62.97
2024,'41 - Oregon',03C11A000000000,'City or Municipal Highway Agency','Deck/Slab',,'',12,'Reinforced Concrete Deck','SF',290,27,9,263,90,0,0,0,0,70.07
2024,'41 - Oregon',03C11A000000000,'City or Municipal Highway Agency','Deck/Slab',,'',38,'Reinforced Concrete Slab','SF',1508,1311,86,66,4,131,8,0,0,92.74
