YEAR,STATE_NAME,STRUCTURE_NUMBER,OWNER_AGENCY,ELEMENT_CATEGORY,PARENT_ELEMENT_NUMBER,PARENT_ELEMENT_NAME,ELEMENT_NUMBER,ELEMENT_NAME,ELEMENT_UNIT,TOTAL_QUANTITY,CONDITION_STATE_1,CS_PERCENT_1,CONDITION_STATE_2,CS_PERCENT_2,CONDITION_STATE_3,CS_PERCENT_3,CONDITION_STATE_4,CS_PERCENT_4,HI
2025,'1 - Alabama',000273         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',154,154,100,0,0,0,0,0,0,100
2025,'1 - Alabama',001088         ,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',2432,0,0,2432,100,0,0,0,0,67
2025,'1 - Alabama',001391         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',73,57,78,0,0,16,21,0,0,85.32
2025,'1 - Alabama',001715         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',445,445,100,0,0,0,0,0,0,100
2025,'1 - Alabama',001908         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',3088,0,0,2708,87,375,12,5,0,62.76
2025,'1 - Alabama',001911         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',3088,0,0,2470,79,613,19,5,0,60.14
2025,'1 - Alabama',002266         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1105,1105,100,0,0,0,0,0,0,100
2025,'1 - Alabama',004006         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1189,1101,92,59,4,29,2,0,0,96.73
2025,'1 - Alabama',004035         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',3545,3428,96,100,2,17,0,0,0,98.75
2025,'1 - Alabama',004549         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',2100,0,0,1830,87,270,12,0,0,62.63
2025,'1 - Alabama',004658         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',2046,0,0,2041,99,5,0,0,0,66.92
2025,'1 - Alabama',006494         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1460,0,0,1447,99,13,0,0,0,66.7
2025,'1 - Alabama',007327         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',908,834,91,20,2,54,5,0,0,95.29
2025,'1 - Alabama',007630         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',324,0,0,308,95,16,4,0,0,65.32
2025,'1 - Alabama',008181         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1050,925,88,103,9,22,2,0,0,95.36
2025,'1 - Alabama',008195         ,'State Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',960,818,85,117,12,25,2,0,0,94.23
