YEAR,STATE_NAME,STRUCTURE_NUMBER,OWNER_AGENCY,ELEMENT_CATEGORY,PARENT_ELEMENT_NUMBER,PARENT_ELEMENT_NAME,ELEMENT_NUMBER,ELEMENT_NAME,ELEMENT_UNIT,TOTAL_QUANTITY,CONDITION_STATE_1,CS_PERCENT_1,CONDITION_STATE_2,CS_PERCENT_2,CONDITION_STATE_3,CS_PERCENT_3,CONDITION_STATE_4,CS_PERCENT_4,HI
2025,'41 - Oregon',00004 000 00010,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',270,240,88,10,3,20,7,0,0,93.81
2025,'41 - Oregon',02484A000 00014,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',224,124,55,100,44,0,0,0,0,85.27
2025,'41 - Oregon',02485 000 00219,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1175,0,0,1175,100,0,0,0,0,67
2025,'41 - Oregon',03849B020 00125,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',2386,0,0,2147,89,239,10,0,0,63.59
2025,'41 - Oregon',04566B068 00710,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1120,0,0,1105,98,15,1,0,0,66.54
2025,'41 - Oregon',04698A556 00306,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',540,0,0,540,100,0,0,0,0,67
2025,'41 - Oregon',04T01 000 00035,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',818,0,0,258,31,560,68,0,0,43.72
2025,'41 - Oregon',04T03 000 00173,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',912,0,0,672,73,240,26,0,0,58.05
2025,'41 - Oregon',04T06 000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',1028,0,0,1028,100,0,0,0,0,67
2025,'41 - Oregon',04T07 000000000,'City or Municipal Highway Agency','Superstructure',,'',107,'Steel Girder/Beam','LF',836,0,0,352,42,484,57,0,0,47.32
