YEAR	STATE_NAME	STRUCTURE_NUMBER	OWNER_AGENCY	ELEMENT_CATEGORY	PARENT_ELEMENT_NUMBER	PARENT_ELEMENT_NAME	ELEMENT_NUMBER	ELEMENT_NAME	ELEMENT_UNIT	TOTAL_QUANTITY	CONDITION_STATE_1	CS_PERCENT_1	CONDITION_STATE_2	CS_PERCENT_2	CONDITION_STATE_3	CS_PERCENT_3	CONDITION_STATE_4	CS_PERCENT_4	HI
2025	'41 - Oregon'	00108B002 11455	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	10988	9889	89	1099	10	0	0	0	0	96.7
2025	'41 - Oregon'	00123K030 02590	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	5908	4603	77	1294	21	11	0	0	0	92.65
2025	'41 - Oregon'	00330 105 00689	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	247	243	98	0	0	4	1	0	0	98.91
2025	'41 - Oregon'	00332C002 09985	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	5800	5246	90	505	8	49	0	0	0	96.56
2025	'41 - Oregon'	00357 003 01143	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	280	264	94	12	4	4	1	0	0	97.63
2025	'41 - Oregon'	00598D244 01678	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	352	39	11	258	73	55	15	0	0	65.34
2025	'41 - Oregon'	00711 105 00478	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	146	146	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	00849A042X00043	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	8908	8887	99	20	0	1	0	0	0	99.92
2025	'41 - Oregon'	00912 009 28661	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	60	0	0	56	93	4	6	0	0	64.73
2025	'41 - Oregon'	00983 009 21227	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	504	0	0	495	98	9	1	0	0	66.39
2025	'41 - Oregon'	00990A014 02867	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	390	325	83	65	16	0	0	0	0	94.5
2025	'41 - Oregon'	01132F241 00051	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	378	378	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	01194A025 01928	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	188	0	0	76	40	112	59	0	0	46.74
2025	'41 - Oregon'	01250 191 01890	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	492	294	59	171	34	27	5	0	0	84.85
2025	'41 - Oregon'	01345C131 00749	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	520	0	0	485	93	35	6	0	0	64.71
2025	'41 - Oregon'	01377A001 30838	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	96	74	77	15	15	7	7	0	0	89.96
2025	'41 - Oregon'	01377C01EX00441	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1160	486	41	631	54	43	3	0	0	79.57
2025	'41 - Oregon'	01400 104Y00467	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	288	78	27	158	54	52	18	0	0	69.8
2025	'41 - Oregon'	01463A007 26681	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2865	1864	65	1001	34	0	0	0	0	88.47
2025	'41 - Oregon'	01519A018 03825	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	624	0	0	524	83	100	16	0	0	61.55
2025	'41 - Oregon'	01630A002 19903	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	480	411	85	68	14	1	0	0	0	95.19
2025	'41 - Oregon'	01725A212 01294	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	444	59	13	375	84	10	2	0	0	70.62
2025	'41 - Oregon'	01726 120 00038	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	219	46	21	142	64	31	14	0	0	69.12
2025	'41 - Oregon'	01756A030 00471	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	685	210	30	475	69	0	0	0	0	77.12
2025	'41 - Oregon'	01788 449 00046	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	240	180	75	35	14	25	10	0	0	88.21
2025	'41 - Oregon'	01821E009 19098	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	378	378	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	01856 201 00111	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	220	0	0	220	100	0	0	0	0	67
2025	'41 - Oregon'	01868 037 00578	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	760	478	62	17	2	265	34	0	0	75.9
2025	'41 - Oregon'	01910 053 10524	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3795	3044	80	751	19	0	0	0	0	93.47
2025	'41 - Oregon'	01940G240 00839	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	750	436	58	249	33	65	8	0	0	83.24
2025	'41 - Oregon'	01963 102 01927	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	220	160	72	60	27	0	0	0	0	91
2025	'41 - Oregon'	01964 102 01576	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	160	0	0	148	92	12	7	0	0	64.45
2025	'41 - Oregon'	01991 102 02932	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	241	222	92	19	7	0	0	0	0	97.4
2025	'41 - Oregon'	01994 068 00224	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	715	715	100	0	0	0	0	0	0	100
