iteration,max_value_change,V_CS1,V_CS1_normalized,V_CS2,V_CS2_normalized,V_CS3,V_CS3_normalized,V_CS4,V_CS4_normalized
1,62096.653257761325,-133.45749015906313,0.010116356303751907,-2326.29079035525,0.08066720692209875,-13498.980316300931,0.16282365401375296,-62096.653257761325,0.32809039076617197
2,46696.90950197197,-384.3175126454952,0.029132069598039576,-4761.363786580263,0.16510658056846092,-27323.01244188517,0.32956805775016296,-108793.5627597333,0.5748155600354133
3,29379.09787745448,-649.0768837365804,0.04920138252699098,-7204.275818534174,0.24981778313657027,-41050.99389744946,0.4951539057514978,-138172.66063718777,0.730041312105504
4,20925.766666513955,-927.2719300469819,0.07028914768022815,-9551.18791346948,0.3312000610422536,-51638.51254443562,0.6228597348324773,-159098.42730370173,0.8406035179976581
5,13008.278364930564,-1217.448839558293,0.09228516307238968,-11527.642279081472,0.39973622769172074,-58419.21911913187,0.7046480918355537,-172106.7056686323,0.9093333272231138
6,4553.358310355165,-1515.5456202110288,0.11488152122726138,-13153.847431328006,0.4561270400776569,-62972.577429487035,0.7595703467580704,-173837.1606240499,0.9184762618700024
7,2862.753945198041,-1817.8542263942072,0.13779714454817515,-14481.378390843345,0.502160930187484,-65835.33137468508,0.7941006628988057,-175184.41996329252,0.9255945656736014
8,1960.5511864649743,-2121.3113426238187,0.16079982732775486,-15558.665716886419,0.5395172916556047,-67795.88256115005,0.817748679310515,-176224.19114460392,0.9310882423097286
9,1429.9808310644003,-2423.4428167284273,0.18370202366740665,-16438.191318925503,0.5700160040380475,-69225.86339221445,0.8349969972299334,-177055.33835640963,0.9354796450536675
10,1092.050034552245,-2722.380113217702,0.20636209467699512,-17165.316028421716,0.595230014101744,-70317.9134267667,0.8481692200812343,-177738.4582338541,0.9390889388846982
11,863.2435574454721,-3016.7676575083274,0.22867728497377796,-17776.190775383733,0.6164129031115676,-71181.15698421217,0.8585815969447943,-178313.5478229794,0.9421274499496741
12,701.603353191982,-3305.653498593123,0.2505754346845185,-18298.58122835097,0.6345274823113596,-71882.76033740415,0.8670442821964404,-178808.22427632095,0.9447410946851795
13,584.1267554243532,-3588.392224033531,0.2720076201992826,-18753.430376411405,0.650299977520064,-72466.8870928285,0.874089973833648,-179242.11738140514,0.9470335879344841
14,497.06433905377344,-3864.566815942859,0.2929422306918681,-19156.394922614825,0.6642733056033931,-72963.95143188228,0.8800855253544493,-179629.43072096712,0.9490799749498738
15,431.5795074310736,-4133.928458129529,0.3133604053756292,-19519.13235217906,0.6768517052645033,-73395.53093931335,0.8852912039131865,-179980.55552074462,0.9509351582282463
16,381.6851777815318,-4396.351176634814,0.3332525951615643,-19850.31151204946,0.6883357802255157,-73777.21611709488,0.8898950609359448,-180303.14903763772,0.9526395952222458
17,343.1821221180144,-4651.798053255141,0.35261600157278766,-20156.382094551303,0.6989491820898945,-74120.3982392129,0.8940344970863904,-180602.88416881778,0.954223258932865
18,313.0621386048733,-4900.2962218756675,0.3714526814144275,-20442.15145816477,0.7088586123649823,-74433.46037781777,0.8978106283308704,-180883.98344465357,0.9557084592844882
19,289.14330870943377,-5141.918436021741,0.3897681495555548,-20711.213481698764,0.7181886935471291,-74722.6036865272,0.9012982525035529,-181149.60496224137,0.9571118822216236
20,269.8316277336271,-5376.7695158663555,0.40757035158406085,-20966.266009190414,0.7270329769430288,-74992.43531426083,0.9045529406775192,-181402.12363049027,0.9584460756796451
21,253.9576986780594,-5604.97640355673,0.424868909979656,-21209.345274322397,0.7354620716461372,-75246.39301293889,0.9076161587499059,-181643.33708530292,0.9597205375466805
22,240.6614269046113,-5826.680880707011,0.44167457208461625,-21441.998800157577,0.7435296400634271,-75487.0544398435,0.910518998223007,-181874.61684987566,0.9609425143256867
23,229.30911966339045,-6042.034247345002,0.45799880675683924,-21665.412840148536,0.751276817100783,-75716.36355950689,0.9132849070462966,-182097.01946780592,0.9621175883110956
24,219.4332570296392,-6251.193444793081,0.4738535104761259,-21880.506285434487,0.7587354665226033,-75935.79681653653,0.9159316939801629,-182311.36828199722,0.9632501096712464
25,210.68847477270174,-6454.3182408381845,0.4892507939741901,-22087.99985691029,0.7659305802782176,-76146.48529130923,0.9184730020284197,-182518.31364833232,0.9643435145899671
26,202.81928903142398,-6651.569195983244,0.5042028280722725,-22288.467090114704,0.7728820464702544,-76349.30458034066,0.9209193925683549,-182718.37729069465,0.9654005596182764
27,195.63638716937567,-6843.106203678052,0.5187217330275936,-22482.37191058582,0.7796059523297395,-76544.94096751003,0.9232791435029125,-182911.98498735813,0.9664234943743572
28,188.99919349025004,-7029.08745204948,0.5328194998303374,-22670.096334318347,0.7861155447660535,-76733.94016100028,0.9255588371218871,-183099.49066894106,0.9674141888661529
29,182.80304176312347,-7209.668694889324,0.546507934943008,-22851.960896586494,0.7924219387633582,-76916.7432027634,0.9277637932391101,-183281.19419376034,0.9683742274082318
30,176.9697341441206,-7385.00274929139,0.5597986222202725,-23028.239726099546,0.7985346400968588,-77093.71293690753,0.9298983884520827,-183457.35446798007,0.9693049779426658
31,171.44059109939553,-7555.239159148841,0.5727028974013578,-23199.171675954967,0.8044619313133105,-77265.15352800692,0.9319662915703185,-183628.19913781673,0.9702076432482235
32,166.17133438278688,-7720.523979787124,0.585231831784776,-23364.968550602567,0.8102111570118711,-77431.32486238971,0.9339706373225583,-183793.9317572154,0.9710832988111007
33,161.12831919027667,-7880.99965083409,0.5973962225916156,-23525.82119394106,0.8157889349568936,-77592.45318157999,0.9359141546165256,-183954.73709606726,0.9719329208711204
34,156.28575946355704,-8036.804933134947,0.609206588183562,-23681.904001865245,0.8212013125564627,-77748.73894104354,0.9377992613305077,-184110.7850785984,0.9727574072303834
35,151.62368431771756,-8188.074891928238,0.6206731667876021,-23833.378274007802,0.8264538830884691,-77900.36262536126,0.9396281344555263,-184262.23371241274,0.9735575927289947
36,147.12643272326386,-8334.940913216376,0.6318059177369449,-23980.39471003656,0.8315518722630169,-78047.48905808452,0.9414027620804798,-184409.23127359757,0.9743342607901639
37,142.78154446514964,-8477.530743736323,0.6426145245008824,-24123.095275338466,0.8365002029174796,-78190.27060254967,0.9431249820001184,-184551.9179433082,0.9750881520671729
38,138.57894285999646,-8615.968547491437,0.6531083989700218,-24261.61460163507,0.8413035435846932,-78328.84954540967,0.9447965104650188,-184690.42703972125,0.9758199709524549
39,134.51033228733286,-8750.374973686125,0.6632966866058736,-24396.08104442663,0.8459663451612275,-78463.359877697,0.9464189636646267,-184824.88595130993,0.9765303905085944
40,130.56875388787012,-8880.867232288703,0.6731882721686745,-24526.61748702832,0.8504928687884036,-78593.92863158487,0.9479938738511668,-184955.4168494676,0.9772200562335062
41,126.74825772647455,-9007.559174465954,0.6827917858144941,-24653.341957304114,0.854887207238357,-78720.67688931135,0.949522701509207,-185082.13723794397,0.9778895889634049
42,123.04366071712866,-9130.56137588172,0.6921156094094431,-24776.368105787053,0.8591533014934895,-78843.72055002848,0.9510068446053339,-185205.1603814211,0.9785395871372059
43,119.45036770682782,-9249.98122140253,0.7011678829505358,-24895.805581051132,0.8632949537629847,-78963.1709177353,0.9524476456797548,-185324.5956444109,0.9791706285871038
44,115.96423907727876,-9365.922990158106,0.7099565110134544,-25011.760328759217,0.8673158378526902,-79079.13515681258,0.9538463973409218,-185440.54876345076,0.9797832719767311
45,112.58149261244398,-9478.487940201896,0.7184891691699938,-25124.334833860372,0.8712195075636299,-79191.71664942503,0.9552043465764908,-185553.1220695323,0.9803780579763698
46,109.29863061188371,-9587.774392235257,0.7267733103345299,-25233.628320292017,0.87500940361694,-79301.01528003691,0.9565226981851257,-185662.4146732501,0.9809555102411928
47,106.11238560880884,-9693.877812019087,0.7348161710109931,-25339.736918774135,0.8786888594723551,-79407.12766564572,0.9578026175535597,-185768.5226218815,0.9815161362412023
48,103.01967980251356,-9796.89089121405,0.7426247774207254,-25442.753810507835,0.8822611063111455,-79510.14734544823,0.9590452329443322,-185871.53903519752,0.9820604279787921
